,study,group,n_hosts,n_guests,n_links,additions,deletions,swaps,skew,kurtosis,eigengap,treedist
24,null0,null,109,128,211,12,0,12,0.820248629853,-0.597556717638,0.150553142004,0.0199247884946
25,null0,null,109,128,211,12,0,18,0.810938281988,-0.615360864845,0.257866151597,0.0199247884946
26,null0,null,109,128,211,12,0,25,0.812896581587,-0.616940611314,0.257710180506,0.0199247884946
27,null0,null,109,128,211,12,0,31,0.803389372316,-0.624272291303,0.256963234313,0.0199247884946
28,null0,null,109,128,211,12,0,37,0.812427595104,-0.621085364137,0.254833085678,0.0199247884946
29,null0,null,109,128,211,12,0,44,0.793936212683,-0.648250809196,0.15483351695,0.0199247884946
30,null0,null,109,128,211,12,0,50,0.816180106388,-0.608932452372,0.150789587465,0.0199247884946
31,null0,null,109,128,211,12,0,56,0.788272390692,-0.665379272817,0.149600546146,0.0199247884946
32,null0,null,109,128,211,12,0,63,0.811812887849,-0.613787186033,0.155042701123,0.0199247884946
33,null0,null,109,128,211,18,0,0,0.808815620344,-0.624585669741,0.151882757521,0.0199247884946
34,null0,null,109,128,211,18,0,6,0.812354445013,-0.608504822682,0.15125624223,0.0199247884946
35,null0,null,109,128,211,18,0,12,0.804196163775,-0.641063540827,0.15469175688,0.0199247884946
36,null0,null,109,128,211,18,0,18,0.823961680491,-0.578595775376,0.150584726025,0.0199247884946
37,null0,null,109,128,211,18,0,25,0.809560778258,-0.625037836877,0.254572660096,0.0199247884946
38,null0,null,109,128,211,18,0,31,0.818113306819,-0.603574376853,0.151063567695,0.0199247884946
39,null0,null,109,128,211,18,0,37,0.83751009312,-0.56449249488,0.151065283294,0.0199247884946
40,null0,null,109,128,211,18,0,44,0.815551390669,-0.604084868212,0.150567436876,0.0199247884946
41,null0,null,109,128,211,18,0,50,0.817809000464,-0.596267145355,0.152200748932,0.0199247884946
42,null0,null,109,128,211,18,0,56,0.796264764548,-0.64418469235,0.152301570504,0.0199247884946
43,null0,null,109,128,211,18,0,63,0.804872471555,-0.629962118415,0.24809548484,0.0199247884946
44,null0,null,109,128,211,25,0,0,0.816875732269,-0.611845483354,0.254136954718,0.0199247884946
45,null0,null,109,128,211,25,0,6,0.839103870877,-0.571331408769,0.151298168868,0.0199247884946
46,null0,null,109,128,211,25,0,12,0.826385393094,-0.601281485446,0.150126291965,0.0199247884946
47,null0,null,109,128,211,25,0,18,0.812220662384,-0.630091988843,0.154868791112,0.0199247884946
48,null0,null,109,128,211,25,0,25,0.836697286678,-0.576753917927,0.155938574508,0.0199247884946
49,null0,null,109,128,211,25,0,31,0.823404780557,-0.595833578945,0.252146620603,0.0199247884946
50,null0,null,109,128,211,25,0,37,0.823985593831,-0.611075433852,0.151368278196,0.0199247884946
51,null0,null,109,128,211,25,0,44,0.828216796378,-0.587041047663,0.315815892484,0.0199247884946
52,null0,null,109,128,211,25,0,50,0.827523169441,-0.575850998397,0.259625068457,0.0199247884946
53,null0,null,109,128,211,25,0,56,0.84118032243,-0.545706374562,0.150182108851,0.0199247884946
54,null0,null,109,128,211,25,0,63,0.819962443114,-0.616227352333,0.155754573385,0.0199247884946
55,null0,null,109,128,211,31,0,0,0.82617422423,-0.595443119919,0.257381235111,0.0199247884946
56,null0,null,109,128,211,31,0,6,0.838426886968,-0.568050375539,0.152754460838,0.0199247884946
57,null0,null,109,128,211,31,0,12,0.813836660158,-0.620097953892,0.260003539557,0.0199247884946
58,null0,null,109,128,211,31,0,18,0.82341341224,-0.603163902311,0.314304376027,0.0199247884946
59,null0,null,109,128,211,31,0,25,0.824956834788,-0.598788399117,0.155309518378,0.0199247884946
